freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,PT	: 	: 	: 	35.9 	: 	39.5 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,RO	: 	: 	: 	28.6 	: 	28.3 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,RS	: 	: 	: 	: 	: 	49.4 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,SE	: 	: 	: 	47.6 	: 	57.0 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,SI	: 	: 	: 	46.6 	: 	45.4 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,SK	: 	: 	: 	35.7 	: 	42.2 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,UK	: 	: 	: 	41.2 	: 	49.2 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,AT	: 	: 	: 	0.4 	: 	1.2 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,BA	: 	: 	: 	: 	: 	0.2 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,BE	: 	: 	: 	0.8 	: 	2.0 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,BG	: 	: 	: 	: u	: 	: u	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,CY	: 	: 	: 	0.5 	: 	0.5 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,CZ	: 	: 	: 	0.3 	: 	0.4 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,DE	: 	: 	: 	0.0 	: 	0.4 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,DK	: 	: 	: 	1.9 	: 	4.6 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,EA	: 	: 	: 	0.4 	: 	0.7 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,EE	: 	: 	: 	0.5 	: 	1.1 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,EL	: 	: 	: 	0.1 	: 	: u	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,ES	: 	: 	: 	0.7 	: 	0.6 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,EU15	: 	: 	: 	0.4 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_VHI,PC_ENT,EU27_2007	: 	: 	: 	0.3 	: 	: 	: 	: 	: 
