freq,unit,age,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC,Y35-74,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.5 e	64.1 b	59.0 e	60.2 e	60.1 	56.6 	52.0 e	49.3 e	56.1 b	56.7 
A,PC,Y35-74,SE	64.3 e	65.7 be	66.1 e	65.5 e	66.7 e	67.9 e	68.6 e	67.9 b	67.8 	68.3 	69.3 	69.9 	69.9 	68.5 	68.3 b	68.1 e	68.2 e	67.1 b	65.6 
A,PC,Y35-74,SI	48.9 e	57.0 be	55.2 e	54.1 e	51.8 e	49.4 e	51.7 e	57.4 b	59.7 e	54.1 e	59.0 	58.7 e	64.5 	64.5 e	63.0 e	63.4 e	59.7 e	65.3 b	66.5 
A,PC,Y35-74,SK	48.1 e	46.4 be	43.0 e	44.1 e	45.0 e	47.7 e	50.3 e	44.3 b	46.2 	47.1 e	49.6 e	50.1 	53.4 	55.2 	52.0 e	56.4 	60.5 	61.1 b	60.2 
A,PC,Y35-74,TR	: 	: 	: 	: 	: 	: 	: 	36.1 be	31.4 be	31.6 e	32.3 be	33.8 e	33.7 e	35.6 e	37.2 e	40.8 e	42.3 e	: 	: 
A,PC,Y35-74,UK	: 	: 	: 	: 	: 	: 	: 	63.9 be	63.5 e	64.1 e	63.1 e	65.2 e	65.0 e	64.7 e	64.1 e	64.4 e	: 	: 	: 
A,THS_PER,Y15-34,AT	51.7 be	57.0 be	60.2 e	60.5 be	64.6 e	64.7 e	64.8 e	62.9 b	63.8 	64.9 	63.8 e	68.4 e	72.4 	77.1 e	73.7 	75.4 	78.1 	77.3 b	79.0 
A,THS_PER,Y15-34,BE	67.8 e	66.0 be	67.5 e	73.0 e	75.2 e	75.1 e	77.3 e	66.7 be	71.1 	65.4 	68.9 	62.9 	68.0 	77.9 b	85.9 	85.9 	84.0 	90.5 b	88.6 
A,THS_PER,Y15-34,BG	22.7 e	26.4 be	29.6 e	31.7 e	32.8 be	32.0 e	34.6 be	32.5 be	35.1 e	37.0 e	34.9 e	39.8 e	42.9 e	47.8 e	50.6 e	47.9 e	42.9 	44.9 b	47.8 
A,THS_PER,Y15-34,CH	: 	: 	: 	: 	: 	: 	: 	68.6 be	76.6 	78.2 	84.3 	80.0 e	85.1 	81.4 	86.6 e	99.2 e	99.6 	98.7 b	99.0 
